12,6,12, 8.0
12,6,13, 15.0
12,7,10, 4.0
12,7,13, 11.0
13,0,22, 15.0
13,1,9, 1.0
13,1,10, 10.0
13,1,12, 1.0
13,2,10, 10.0
13,2,12, 10.0
13,3,12, 21.0
13,3,24, 1.0
13,4,12, 3.0
13,4,13, 20.0
13,5,13, 19.0
13,6,13, 24.0
13,7,13, 14.0
13,7,22, 1.0
14,0,14, 9.0
14,0,29, 7.0
14,1,8, 4.0
14,1,29, 15.0
14,2,8, 14.0
14,2,9, 2.0
14,2,29, 1.0
14,3,8, 3.0
14,3,9, 21.0
14,4,22, 15.0
14,5,14, 19.0
14,5,22, 6.0
14,6,14, 14.0
14,7,14, 21.0
15,0,20, 8.0
15,0,21, 13.0
15,1,19, 11.0
15,1,20, 6.0
15,2,16, 13.0
15,2,17, 3.0
15,2,19, 4.0
15,3,6, 11.0
15,3,7, 3.0
15,3,16, 12.0
15,4,6, 1.0
15,4,7, 19.0
15,4,8, 2.0
15,4,16, 1.0
15,5,7, 6.0
15,5,8, 16.0
15,5,9, 1.0
15,6,8, 16.0
15,6,21, 1.0
15,6,29, 14.0
15,7,21, 7.0
15,7,29, 6.0
16,0,17, 6.0
16,0,19, 10.0
16,0,20, 2.0
16,1,17, 13.0
16,1,19, 5.0
16,2,17, 16.0
16,2,31, 4.0
16,2,33, 6.0
16,3,6, 3.0
16,3,31, 19.0
16,4,6, 14.0
16,4,31, 1.0
16,5,6, 10.0
16,5,7, 13.0
16,5,15, 1.0
16,6,6, 2.0
16,6,7, 10.0
16,6,15, 9.0
16,7,15, 20.0
16,7,19, 1.0
16,7,20, 4.0
16,7,21, 3.0
17,0,18, 3.0
17,0,19, 3.0
17,0,34, 9.0
17,0,40, 1.0
17,0,43, 1.0
17,1,18, 9.0
17,1,34, 9.0
17,2,18, 8.0
17,2,33, 3.0
17,3,18, 4.0
17,3,31, 2.0
17,3,33, 6.0
17,4,16, 2.0
17,4,31, 11.0
17,5,16, 21.0
17,6,15, 1.0
17,6,16, 9.0
17,6,19, 9.0
17,7,19, 30.0
18,0,34, 13.0
18,0,38, 1.0
18,1,34, 6.0
18,1,36, 1.0
18,1,37, 2.0
18,1,38, 4.0
18,1,41, 2.0
18,2,36, 6.0
18,2,37, 4.0
18,2,38, 6.0
18,2,39, 1.0
18,3,33, 13.0
18,3,36, 2.0
18,3,37, 2.0
18,3,38, 1.0
18,3,39, 2.0
18,4,31, 1.0
18,4,33, 22.0
18,5,17, 9.0
18,5,31, 6.0
18,5,33, 2.0
18,6,17, 10.0
18,7,17, 2.0
18,7,19, 2.0
18,7,34, 4.0
18,7,39, 2.0
18,7,40, 3.0
18,7,41, 1.0
18,7,43, 1.0
19,0,19, 12.0
19,0,20, 9.0
19,0,38, 2.0
19,0,39, 2.0
19,0,40, 1.0
19,0,41, 1.0
19,1,19, 4.0
19,1,34, 8.0
19,1,38, 2.0
19,1,39, 3.0
19,1,41, 1.0
19,1,43, 1.0
19,2,17, 6.0
19,2,18, 1.0
19,2,34, 14.0
19,3,17, 14.0
19,3,18, 4.0
19,3,34, 1.0
19,4,16, 9.0
19,4,17, 8.0
19,5,15, 20.0
19,5,16, 4.0
19,5,20, 1.0
19,6,15, 4.0
19,6,20, 13.0
19,6,21, 8.0
19,7,19, 5.0
19,7,20, 16.0
19,7,21, 1.0
20,0,20, 20.0
20,1,19, 1.0
20,1,20, 18.0
20,1,43, 1.0
20,2,19, 13.0
20,2,38, 1.0
20,2,39, 2.0
20,2,40, 6.0
20,2,43, 1.0
